id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-alma,alma,,A,empieza,teocratico,glosario-biblico,1,"En la Biblia, persona o criatura viva; no una parte inmortal separada del cuerpo.","Término que puede referirse a un ser humano, un animal o la vida que posee.","La palabra hebrea néfesh y la griega psykhḗ se traducen habitualmente así.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/alma/
teocratico-altar,altar,,A,empieza,teocratico,glosario-biblico,1,"Estructura elevada donde se ofrecían sacrificios o se quemaba incienso.","Lugar de adoración que podía construirse con tierra, piedras o madera revestida.","En el tabernáculo había uno para las ofrendas y otro, más pequeño, para el incienso.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/altar/
teocratico-amen,amén,,A,empieza,teocratico,glosario-biblico,1,"Expresión que significa ‘así sea’ o ‘seguro’ y se dice al final de una oración.","Palabra usada para confirmar solemnemente lo dicho o mostrar acuerdo sincero.","Procede de una raíz hebrea relacionada con ser fiel, confiable o digno de confianza.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/amen/
teocratico-angel,ángel,,A,empieza,teocratico,glosario-biblico,1,"Criatura espiritual que sirve como mensajera de Dios.","Ser celestial con poder superior al humano que cumple encargos divinos.","El término hebreo malʼákh y el griego ágguelos destacan su función de enviado.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/angel/
teocratico-apostasia,apostasía,,A,empieza,teocratico,glosario-biblico,1,"Abandono o rechazo deliberado de la adoración verdadera.","Acción de apartarse de una causa religiosa que antes se afirmaba seguir.","El sustantivo griego relacionado transmite la idea de deserción, rebelión o abandono.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/apostasia/
teocratico-apostol,apóstol,,A,empieza,teocratico,glosario-biblico,1,"Discípulo enviado oficialmente para representar a Jesús y predicar.","Título aplicado especialmente a los doce escogidos por Cristo.","La voz griega de la que procede significa ‘enviado’ y también se aplica a otros comisionados.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/apostol/
teocratico-arca-del-pacto,arca del pacto,arca de la alianza,A,empieza,teocratico,glosario-biblico,1,"Cofre sagrado que contenía las tablas de los Diez Mandamientos.","Objeto del Santísimo cuya cubierta tenía dos querubines de oro.","Representaba la presencia divina y acompañó a Israel desde la época de Moisés.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/arca-del-pacto/
teocratico-armagedon,Armagedón,Har-Magedón,A,empieza,teocratico,glosario-biblico,1,"Guerra final en la que Dios acabará con los gobiernos malvados de la Tierra.","Nombre bíblico del enfrentamiento entre el Todopoderoso y los reyes del mundo.","La expresión de Revelación deriva del hebreo y significa ‘montaña de Meguidó’.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/armagedon/
teocratico-baal,Baal,,B,empieza,teocratico,glosario-biblico,1,"Dios cananeo cuya adoración fue una constante trampa para los israelitas.","Título que significa ‘dueño’ o ‘amo’ y se aplicaba a varias divinidades locales.","Sus devotos lo vinculaban con la fertilidad y llegaron a enfrentarse a Elías en el Carmelo.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/baal/
teocratico-bautismo,bautismo,bautizar,B,empieza,teocratico,glosario-biblico,1,"Inmersión completa en agua que simboliza la dedicación de un cristiano a Dios.","Acto religioso cuyo nombre griego comunica la idea de sumergir.","Juan lo practicó como señal de arrepentimiento, y Jesús mandó hacerlo con sus discípulos.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/bautismo-bautizar/
teocratico-belcebu,Belcebú,Beelzebub,B,empieza,teocratico,glosario-biblico,1,"Nombre aplicado a Satanás como gobernante de los demonios.","Designación despectiva relacionada con una divinidad de los filisteos.","Los enemigos de Jesús usaron este título al atribuir erróneamente su poder al jefe de los espíritus malignos.",Glosario de la Traducción del Nuevo Mundo,https://www.jw.org/es/biblioteca/libros/glosario-biblia/belcebu/
