id,clueInfantil
general-abeja,"Insecto amarillo y negro que fabrica miel."
general-abrazo,"Cuando rodeamos a alguien con los brazos para mostrar cariño."
general-acantilado,"Pared alta de roca junto al mar."
general-aduana,"Lugar donde revisan equipajes al entrar en otro país."
general-aljibe,"Pozo o depósito donde se guarda agua de lluvia."
general-amanecer,"Momento del día en que aparece el sol."
general-baldosa,"Pieza dura que cubre el piso."
general-biblioteca,"Lugar con muchos libros para leer o llevar prestados."
general-brujula,"Instrumento cuya aguja señala el norte."
general-burbuja,"Bolita de aire que vemos dentro del agua o el jabón."
general-barrilete,"Juguete de papel que vuela sujeto por un hilo."
general-camino,"Lugar por donde avanzamos para llegar a otro sitio."
general-cascada,"Agua de un río que cae desde una altura."
general-ceramica,"Material de barro cocido usado para hacer platos y tazas."
general-cifra,"Cada signo que usamos para escribir un número."
general-cometa,"Objeto con cola que gira alrededor del Sol."
general-cotorra,"Ave verde que puede imitar sonidos."
general-dado,"Cubo pequeño con puntos que se usa en muchos juegos."
general-delantal,"Prenda que protege la ropa al cocinar o pintar."
general-desierto,"Lugar muy seco donde casi no llueve."
general-dibujo,"Imagen hecha con lápiz, fibra o crayón."
general-domingo,"Día de la semana que viene después del sábado."
general-durazno,"Fruta redonda con piel suave y un carozo grande."
general-dique,"Muro que sirve para detener o controlar el agua."
general-eclipse,"Momento en que el Sol o la Luna quedan ocultos."
general-edificio,"Construcción grande con varios pisos."
general-embudo,"Objeto ancho arriba y angosto abajo para pasar líquidos."
general-enciclopedia,"Libro o colección donde buscamos información sobre muchos temas."
general-escoba,"Objeto con mango que usamos para barrer."
general-espejo,"Superficie donde podemos ver nuestra propia imagen."
general-estrella,"Punto brillante del cielo que produce luz."
