id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-sostenible-m-mansedumbre,mansedumbre,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Cualidad de quien mantiene la calma y trata a otros con suavidad.,Forma apacible de reaccionar que aparece entre las cualidades del fruto del espíritu.,Cualidad de quien mantiene la calma y trata a otros con suavidad; el pasaje citado muestra cómo se aplica.,"Forma apacible de reaccionar que aparece entre las cualidades del fruto del espíritu, con un sentido más preciso dentro del vocabulario bíblico.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/galatas/5/#v23
teocratico-sostenible-m-mayordomo,mayordomo,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Siervo encargado de administrar la casa y los bienes de otra persona.,Administrador fiel encargado de repartir alimento a los sirvientes.,Siervo encargado de administrar la casa y los bienes de otra persona; el pasaje citado muestra cómo se aplica.,"Administrador fiel encargado de repartir alimento a los sirvientes, con un sentido más preciso dentro del vocabulario bíblico.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/12/#v42
teocratico-sostenible-m-memorial,memorial,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Acto u objeto que ayuda a recordar una persona o acontecimiento importante.,Celebración establecida para recordar la liberación de Israel de Egipto.,Acto u objeto que ayuda a recordar una persona o acontecimiento importante; el pasaje citado muestra cómo se aplica.,"Celebración establecida para recordar la liberación de Israel de Egipto, con un sentido más preciso dentro del vocabulario bíblico.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/12/#v14
teocratico-sostenible-m-mandamiento,mandamiento,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Instrucción de Dios que sus siervos deben obedecer.,Norma dada por Jehová para guiar y proteger a su pueblo.,Precepto divino que indica lo correcto y exige obediencia.,Disposición de la Ley comunicada con autoridad por Dios.,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/5/moises-diez-mandamientos-becerro-oro/
teocratico-sostenible-m-majestad,majestad,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Grandeza y dignidad que corresponden de manera suprema a Jehová.,Grandeza con la que se describe el reinado de Jehová.,Grandeza y dignidad que corresponden de manera suprema a Jehová; el pasaje citado muestra cómo se aplica.,"Grandeza con la que se describe el reinado de Jehová, con un sentido más preciso dentro del vocabulario bíblico.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/salmos/93/#v1
teocratico-sostenible-m-mar,mar,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Gran extensión de agua que Jehová abrió para salvar a Israel.,Barrera de agua que los israelitas cruzaron por terreno seco.,Lugar donde el ejército del faraón quedó atrapado tras perseguir al pueblo.,Masa acuática roja cuyo cruce marcó la liberación definitiva de Egipto.,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/mar-rojo-se-divide/
teocratico-sostenible-m-madre,madre,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Mujer que da vida a un hijo y lo cuida.,Relación que María tuvo con Jesús desde su nacimiento.,"Progenitora femenina, responsable de alimentar y proteger a sus hijos.",Vínculo familiar que unió a la joven de Nazaret con el Mesías humano.,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/11/angel-gabriel-visita-maria/
teocratico-sostenible-m-misericordioso,misericordioso,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Que siente compasión y actúa para aliviar o perdonar.,Modo compasivo de actuar que imita al Padre celestial.,Que siente compasión y actúa para aliviar o perdonar; el pasaje citado muestra cómo se aplica.,"Modo compasivo de actuar que imita al Padre celestial, con un sentido más preciso dentro del vocabulario bíblico.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/lucas/6/#v36
teocratico-sostenible-m-maestro,maestro,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Persona que ayuda a otros a aprender.,Título apropiado para Jesús porque enseñaba a sus discípulos.,"Quien transmite conocimientos mediante explicaciones, preguntas y ejemplo.",Tratamiento dado a Cristo en reconocimiento de su autoridad para instruir.,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/12/jesus-ensena-orar/
teocratico-sostenible-m-maldad,maldad,,M,empieza,teocratico,relato-biblico-infantil|sostenible,1,Forma de actuar que hace daño y desagrada a Dios.,Conducta violenta y corrupta que llenó la Tierra antes del Diluvio.,Inclinación opuesta a las normas justas de Jehová.,Cualidad moral negativa que motivó el juicio divino en tiempos de Noé.,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/2/arca-de-noe/
