id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-sostenible-arbol,árbol,,A,empieza,general,infantil|sostenible,1,Planta grande con tronco y ramas.,Planta leñosa que crece con un tronco principal.,Ser vegetal cuya copa puede dar sombra frutos y refugio.,En el bosque cuenta los años mediante anillos ocultos en su tronco.,Diccionario de la lengua española,https://dle.rae.es/árbol
general-sostenible-agua,agua,,A,empieza,general,infantil|sostenible,1,Líquido transparente que bebemos cuando tenemos sed.,Sustancia sin color ni olor que forma la lluvia y los ríos.,Compuesto esencial para la vida que puede ser líquido hielo o vapor.,Cubre gran parte del planeta y su fórmula reúne dos átomos de hidrógeno con uno de oxígeno.,Diccionario de la lengua española,https://dle.rae.es/agua
general-sostenible-anillo,anillo,,A,empieza,general,infantil|sostenible,1,Aro pequeño que se lleva en un dedo.,Joya circular usada como adorno en la mano.,Pieza con forma de aro que también puede representar una unión o compromiso.,Cabe en un dedo y en ciertas ceremonias sella una promesa.,Diccionario de la lengua española,https://dle.rae.es/anillo
general-sostenible-almohada,almohada,,A,empieza,general,infantil|sostenible,1,Cojín donde apoyamos la cabeza para dormir.,Pieza blanda de la cama que sostiene la cabeza.,Funda rellena de material mullido que facilita el descanso.,Recibe cada noche sueños y pensamientos junto a la cabecera.,Diccionario de la lengua española,https://dle.rae.es/almohada
general-sostenible-ambulancia,ambulancia,,A,empieza,general,infantil|sostenible,1,Vehículo que lleva rápido a personas enfermas o heridas.,Vehículo sanitario preparado para atender y trasladar pacientes.,Medio de emergencia equipado con camilla y personal de salud.,Su sirena pide paso porque cada minuto puede ser decisivo.,Diccionario de la lengua española,https://dle.rae.es/ambulancia
general-sostenible-ancla,ancla,,A,empieza,general,infantil|sostenible,1,Pieza pesada que evita que un barco se aleje.,Instrumento de hierro que sujeta una embarcación al fondo.,Objeto náutico con brazos que se arroja para mantener fija una nave.,Desciende unida a una cadena cuando el capitán quiere quedarse en el mismo lugar.,Diccionario de la lengua española,https://dle.rae.es/ancla
general-sostenible-ardilla,ardilla,,A,empieza,general,infantil|sostenible,1,Animal pequeño de cola peluda que trepa árboles.,Roedor ágil que suele guardar nueces y semillas.,Mamífero de bosque con incisivos fuertes y larga cola tupida.,Salta entre ramas y esconde provisiones que a veces terminan germinando.,Diccionario de la lengua española,https://dle.rae.es/ardilla
general-sostenible-arena,arena,,A,empieza,general,infantil|sostenible,1,Muchos granitos pequeños que hay en la playa.,Conjunto de partículas de roca que cubre playas y desiertos.,Material suelto y fino usado también para fabricar vidrio y mezclar cemento.,Se escurre entre los dedos y dentro de un reloj antiguo mide el tiempo.,Diccionario de la lengua española,https://dle.rae.es/arena
general-sostenible-armario,armario,,A,empieza,general,infantil|sostenible,1,Mueble con puertas donde guardamos ropa.,Mueble alto con estantes o perchas para ordenar objetos.,Espacio cerrado de una casa destinado a guardar prendas y pertenencias.,Abre sus puertas cada mañana para ayudar a elegir qué ponerse.,Diccionario de la lengua española,https://dle.rae.es/armario
general-sostenible-acuario,acuario,,A,empieza,general,infantil|sostenible,1,Recipiente con agua donde viven peces.,Depósito transparente preparado para criar animales y plantas acuáticos.,Instalación que reproduce un ambiente acuático y permite observarlo desde fuera.,Tras el cristal guarda un pequeño paisaje sumergido que necesita filtros y cuidados.,Diccionario de la lengua española,https://dle.rae.es/acuario
