id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-sostenible-sara,Sara,,S,empieza,teocratico,relato-biblico-infantil,1,Esposa de Abrahán que tuvo un hijo llamado Isaac.,Esposa de Abrahán y madre de Isaac.,Jehová cambió su nombre y prometió que tendría un hijo.,"Se rio al oír la promesa, pero dio a luz a los noventa años.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/genesis/17/
teocratico-sostenible-sadrac,Sadrac,,S,empieza,teocratico,relato-biblico-infantil,1,Joven hebreo que no adoró la estatua del rey.,Joven hebreo arrojado a un horno por mantenerse fiel.,Rechazó inclinarse ante la enorme estatua de oro de Babilonia.,Azarías recibió este nombre babilonio y salió ileso del fuego.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/daniel/3/
teocratico-sostenible-safira,Safira,,S,empieza,teocratico,relato-biblico-infantil,1,Mujer que mintió sobre el precio de una propiedad.,Esposa que apoyó una mentira sobre el precio de un terreno.,Confirmó ante Pedro la versión falsa que había dado su marido.,Cayó muerta tres horas después de Ananías por engañar al espíritu santo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/5/
teocratico-sostenible-salome,Salomé,,S,empieza,teocratico,relato-biblico-infantil,1,Mujer que estuvo entre las seguidoras fieles de Jesús.,Seguidora de Jesús que llevó especias aromáticas a su tumba.,Fue una de las mujeres que descubrieron que la piedra estaba apartada.,Marcos la menciona con María Magdalena y María la madre de Santiago.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/marcos/16/
teocratico-sostenible-samaria,Samaria,,S,empieza,teocratico,relato-biblico-infantil,1,Región donde Jesús habló con una mujer junto a un pozo.,Región situada entre Judea y Galilea.,Jesús atravesó este territorio y descansó junto al pozo de Jacob.,Su ciudad principal dio nombre a una población enemistada con los judíos.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/4/
teocratico-sostenible-samaritana,samaritana,,S,empieza,teocratico,relato-biblico-infantil,1,Mujer a quien Jesús habló junto al pozo de Jacob.,Mujer que conversó con Jesús junto a un pozo.,Dejó su jarro y avisó a la gente de su ciudad.,Jesús le habló del agua viva y reveló que era el Mesías.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/juan/4/
teocratico-sostenible-sangre,sangre,,S,empieza,teocratico,relato-biblico-infantil,1,Líquido rojo del cuerpo que representa la vida.,Líquido vital que la Ley prohibía comer.,Se usaba sobre el altar para hacer expiación.,Levítico explica que la vida de la carne reside en ella.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/levitico/17/
teocratico-sostenible-sandalias,sandalias,,S,empieza,teocratico,relato-biblico-infantil,1,Calzado sencillo que protegía los pies en caminos polvorientos.,Calzado que Moisés debió quitarse ante la zarza ardiente.,Protegía los pies de quienes recorrían caminos secos y pedregosos.,Quitárselo podía expresar respeto porque el suelo era santo.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/exodo/3/
teocratico-sostenible-sepulcro,sepulcro,,S,empieza,teocratico,relato-biblico-infantil,1,Lugar donde colocaron el cuerpo de Jesús después de morir.,Tumba nueva donde José de Arimatea colocó el cuerpo de Jesús.,Fue cerrada con una gran piedra y vigilada por soldados.,Estaba excavada en roca y quedó vacía al tercer día.,Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/mateo/27/
teocratico-sostenible-silas,Silas,,S,empieza,teocratico,relato-biblico-infantil,1,Cristiano que acompañó a Pablo durante viajes de predicación.,Compañero de Pablo que cantó alabanzas estando preso.,Un terremoto abrió las puertas de la cárcel donde estaba encadenado.,"Era profeta, ciudadano romano y participante del segundo viaje misional.",Traducción del Nuevo Mundo (edición de estudio),https://www.jw.org/es/biblioteca/biblia/biblia-estudio/libros/hechos/16/
