id,clueInfantil
general-sabana,"Tela grande que ponemos sobre la cama para dormir."
general-semaforo,"Luces de colores que ordenan el tránsito en la calle."
general-sendero,"Camino angosto para caminar por el campo o bosque."
general-serpiente,"Animal largo sin patas que se arrastra por el suelo."
general-silla,"Mueble con respaldo donde se sienta una persona."
general-sombra,"Zona oscura que aparece cuando algo tapa la luz."
general-submarino,"Barco especial que puede viajar debajo del agua."
general-subte,"Tren que viaja por túneles debajo de la ciudad."
general-tambor,"Instrumento musical que suena cuando golpeamos su superficie."
general-teatro,"Lugar donde actores representan historias frente al público."
general-telefono,"Aparato que usamos para hablar con personas lejanas."
general-tenedor,"Cubierto con puntas que usamos para pinchar la comida."
general-tesoro,"Conjunto de cosas valiosas escondidas o bien guardadas."
general-tunel,"Camino cubierto que atraviesa una montaña o pasa bajo tierra."
general-umbral,"Parte inferior de una puerta que cruzamos al entrar."
general-unicornio,"Animal fantástico parecido a un caballo con un cuerno."
general-uniforme,"Ropa igual que identifica a estudiantes o trabajadores."
general-universo,"Todo lo que existe: estrellas, planetas, espacio y galaxias."
general-urna,"Caja donde se colocan votos durante una elección."
general-urraca,"Ave de cola larga que suele tener plumas blancas y negras."
general-utensilio,"Objeto útil que sirve para realizar una tarea doméstica."
general-uva,"Fruta pequeña y redonda que crece formando racimos."
general-vacuna,"Preparación que ayuda al cuerpo a defenderse de enfermedades."
general-valle,"Terreno bajo situado entre montañas o zonas elevadas."
general-ventana,"Abertura con vidrio que deja entrar luz y aire."
general-vestido,"Prenda que cubre el cuerpo y suele llevar falda."
general-viaje,"Recorrido que hacemos para llegar a otro lugar."
general-viento,"Aire en movimiento que puede empujar hojas y nubes."
general-violin,"Instrumento de cuerdas que se toca usando un arco."
general-verso,"Cada línea que forma parte de un poema."
general-examen,"Prueba con preguntas para comprobar lo que aprendimos."
general-exito,"Buen resultado conseguido después de intentar algo."
general-exacto,"Que coincide completamente y no tiene ningún error."
general-texto,"Conjunto de palabras escritas que comunican un mensaje."
general-taxi,"Auto con conductor que lleva pasajeros a cambio de dinero."
general-oxigeno,"Gas del aire que necesitamos para poder respirar."
general-proximo,"Que está muy cerca en lugar o tiempo."
general-exterior,"Parte de afuera de una casa, objeto o lugar."
general-yacare,"Reptil sudamericano parecido al cocodrilo, con dientes fuertes."
general-yacimiento,"Lugar donde se encuentran minerales o restos antiguos bajo tierra."
general-yate,"Barco usado para pasear o practicar deportes en el agua."
general-yegua,"Caballo hembra adulto que puede tener potrillos."
general-yema,"Parte amarilla y redonda que está dentro del huevo."
general-yeso,"Material blanco usado para cubrir paredes o inmovilizar huesos."
general-yogur,"Alimento cremoso hecho con leche y bacterias beneficiosas."
general-yunque,"Bloque pesado de metal donde el herrero golpea piezas."
general-zafiro,"Piedra preciosa que generalmente tiene un color azul intenso."
general-zanja,"Excavación larga y angosta hecha en el suelo."
general-zapato,"Calzado que protege el pie al caminar."
general-zarza,"Arbusto con ramas espinosas que puede dar frutos pequeños."
general-zocalo,"Franja que protege la parte inferior de una pared."
general-zoologico,"Lugar donde se cuidan y muestran animales al público."
general-zorro,"Animal de hocico puntiagudo y cola larga muy peluda."
