id,clueInfantil
teocratico-faraon,"Título del gobernante de Egipto que se enfrentó a Moisés."
teocratico-fariseos,"Grupo religioso que muchas veces criticó a Jesús."
teocratico-fenicia,"Región costera donde estaban las ciudades de Tiro y Sidón."
teocratico-fiesta-de-las-cabanas,"Celebración donde los israelitas vivían siete días en refugios temporales."
teocratico-fiesta-panes-sin-levadura,"Celebración donde Israel comía pan sin fermentar durante siete días."
teocratico-filisteos,"Pueblo enemigo de Israel al que pertenecía Goliat."
teocratico-galaad,"Región montañosa al este del Jordán, famosa por su bálsamo."
teocratico-granada,"Fruta con muchas semillas que decoraba la ropa sacerdotal."
teocratico-griego,"Idioma en que se escribieron los libros bíblicos cristianos."
teocratico-herodes,"Nombre de varios gobernantes mencionados en las historias de Jesús."
teocratico-hijo-de-david,"Título que identificaba a Jesús como descendiente del rey prometido."
teocratico-hisopo,"Planta usada para rociar sangre o agua en ceremonias bíblicas."
teocratico-idolatria,"Adorar imágenes o cosas en vez del Dios verdadero."
teocratico-incienso,"Sustancia aromática que se quemaba en la adoración a Jehová."
teocratico-israel,"Nombre que Dios le dio a Jacob y también a su pueblo."
teocratico-jacob,"Hijo de Isaac que recibió el nombre Israel."
teocratico-jehova,"Nombre personal de Dios, el Creador de todas las cosas."
teocratico-jubileo,"Año especial en Israel para liberar esclavos y devolver tierras."
teocratico-juda,"Hijo de Jacob del que vino una importante tribu israelita."
teocratico-jueces,"Hombres elegidos por Dios para guiar y proteger a Israel."
teocratico-langosta,"Insecto que apareció en una de las plagas de Egipto."
teocratico-levadura,"Ingrediente que hace crecer la masa usada para preparar pan."
teocratico-levita,"Miembro de la tribu que ayudaba con la adoración en Israel."
teocratico-ley-de-moises,"Mandamientos que Dios entregó a Israel por medio de un profeta."
