id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-sostenible-falda,falda,,F,empieza,general,infantil|sostenible,1,Prenda que cae desde la cintura y cubre las piernas.,Prenda sin perneras que cuelga desde la cintura.,Prenda sin perneras que cuelga desde la cintura. Puede ser plisada y suele combinarse con blusa.,Puede ser plisada y suele combinarse con blusa.,Diccionario de la lengua española,https://dle.rae.es/falda
general-sostenible-flor,flor,,F,empieza,general,infantil|sostenible,1,Parte colorida de una planta que puede producir semillas.,Órgano vegetal donde se forman frutos y semillas.,Órgano vegetal donde se forman frutos y semillas. Atrae abejas con colores aromas y néctar.,Atrae abejas con colores aromas y néctar.,Diccionario de la lengua española,https://dle.rae.es/flor
general-sostenible-fruta,fruta,,F,empieza,general,infantil|sostenible,1,Alimento vegetal dulce que suele contener semillas.,Producto comestible que nace tras la floración.,Producto comestible que nace tras la floración. En la cocina suele cerrar una comida como postre.,En la cocina suele cerrar una comida como postre.,Diccionario de la lengua española,https://dle.rae.es/fruta
general-sostenible-frutilla,frutilla,,F,empieza,general,infantil|sostenible,1,Fruta roja pequeña con semillas visibles en su superficie.,Baya roja de pulpa aromática y superficie punteada.,Baya roja de pulpa aromática y superficie punteada. Corona muchas tortas y combina especialmente bien con crema.,Corona muchas tortas y combina especialmente bien con crema.,Diccionario de la lengua española,https://dle.rae.es/frutilla
general-sostenible-frasco,frasco,,F,empieza,general,infantil|sostenible,1,Recipiente pequeño de vidrio usado para guardar cosas.,Vasija de cuello estrecho para líquidos o conservas.,Vasija de cuello estrecho para líquidos o conservas. Mermeladas perfumes y medicinas suelen habitar este recipiente.,Mermeladas perfumes y medicinas suelen habitar este recipiente.,Diccionario de la lengua española,https://dle.rae.es/frasco
general-sostenible-frazada,frazada,,F,empieza,general,infantil|sostenible,1,Manta gruesa que usamos para abrigarnos en la cama.,Cobertura gruesa de lana u otro tejido abrigado.,Cobertura gruesa de lana u otro tejido abrigado. En noches frías se extiende encima de las sábanas.,En noches frías se extiende encima de las sábanas.,Diccionario de la lengua española,https://dle.rae.es/frazada
general-sostenible-flecha,flecha,,F,empieza,general,infantil|sostenible,1,Proyectil puntiagudo que se lanza usando un arco.,Vara con punta disparada mediante un arco.,Vara con punta disparada mediante un arco. En señales gráficas también indica dirección o recorrido.,En señales gráficas también indica dirección o recorrido.,Diccionario de la lengua española,https://dle.rae.es/flecha
general-sostenible-flauta,flauta,,F,empieza,general,infantil|sostenible,1,Instrumento musical de viento con varios agujeros.,Instrumento tubular que suena al soplar.,Instrumento tubular que suena al soplar. Su voz nace del aire y de tapar distintos orificios.,Su voz nace del aire y de tapar distintos orificios.,Diccionario de la lengua española,https://dle.rae.es/flauta
general-sostenible-flan,flan,,F,empieza,general,infantil|sostenible,1,Postre blando preparado con leche huevos y azúcar.,Dulce cuajado de textura temblorosa y caramelo.,Dulce cuajado de textura temblorosa y caramelo. Se desmolda para servirlo y a veces lleva crema.,Se desmolda para servirlo y a veces lleva crema.,Diccionario de la lengua española,https://dle.rae.es/flan
general-sostenible-fideos,fideos,,F,empieza,general,infantil|sostenible,1,Tiras de pasta que se cocinan en agua.,Pasta alimenticia presentada en tiras o formas pequeñas.,Pasta alimenticia presentada en tiras o formas pequeñas. Se hierven hasta quedar al dente antes de añadir salsa.,Se hierven hasta quedar al dente antes de añadir salsa.,Diccionario de la lengua española,https://dle.rae.es/fideos
general-sostenible-fiesta,fiesta,,F,empieza,general,infantil|sostenible,1,Reunión alegre organizada para celebrar algo.,Celebración con reunión de personas y entretenimiento.,Celebración con reunión de personas y entretenimiento. La música los invitados y un motivo especial la animan.,La música los invitados y un motivo especial la animan.,Diccionario de la lengua española,https://dle.rae.es/fiesta
general-sostenible-figura,figura,,F,empieza,general,infantil|sostenible,1,Forma exterior de una persona animal u objeto.,Contorno o apariencia visible de un cuerpo.,Contorno o apariencia visible de un cuerpo. También puede representar una pieza geométrica o personaje destacado.,También puede representar una pieza geométrica o personaje destacado.,Diccionario de la lengua española,https://dle.rae.es/figura
general-sostenible-ficha,ficha,,F,empieza,general,infantil|sostenible,1,Pieza pequeña usada en juegos o para registrar datos.,Pieza con valor o función dentro de un juego.,Pieza con valor o función dentro de un juego. Avanza por el tablero según indiquen dados o reglas.,Avanza por el tablero según indiquen dados o reglas.,Diccionario de la lengua española,https://dle.rae.es/ficha
general-sostenible-fila,fila,,F,empieza,general,infantil|sostenible,1,Grupo colocado con cada integrante detrás de otro.,Serie ordenada de elementos uno tras otro.,Serie ordenada de elementos uno tras otro. Quien espera su turno suele ocupar un lugar en ella.,Quien espera su turno suele ocupar un lugar en ella.,Diccionario de la lengua española,https://dle.rae.es/fila
general-sostenible-filtro,filtro,,F,empieza,general,infantil|sostenible,1,Objeto que deja pasar algo pero retiene impurezas.,Dispositivo que separa partículas de un fluido.,Dispositivo que separa partículas de un fluido. Deja atravesar lo deseado mientras detiene ciertas impurezas.,Deja atravesar lo deseado mientras detiene ciertas impurezas.,Diccionario de la lengua española,https://dle.rae.es/filtro
general-sostenible-firma,firma,,F,empieza,general,infantil|sostenible,1,Nombre escrito de manera personal para identificar a alguien.,Rasgo manuscrito que autentica documentos.,Rasgo manuscrito que autentica documentos. Al pie de un contrato expresa identidad y conformidad.,Al pie de un contrato expresa identidad y conformidad.,Diccionario de la lengua española,https://dle.rae.es/firma
general-sostenible-foto,foto,,F,empieza,general,infantil|sostenible,1,Imagen que se obtiene usando una cámara.,Representación visual capturada por una cámara.,Representación visual capturada por una cámara. Congela un instante para poder contemplarlo tiempo después.,Congela un instante para poder contemplarlo tiempo después.,Diccionario de la lengua española,https://dle.rae.es/foto
general-sostenible-freno,freno,,F,empieza,general,infantil|sostenible,1,Mecanismo que disminuye o detiene un movimiento.,Sistema destinado a reducir la velocidad.,Sistema destinado a reducir la velocidad. Al accionarlo convierte el avance en detención controlada.,Al accionarlo convierte el avance en detención controlada.,Diccionario de la lengua española,https://dle.rae.es/freno
general-sostenible-frente,frente,,F,empieza,general,infantil|sostenible,1,Parte de la cara situada encima de los ojos.,Zona superior del rostro entre cejas y cabello.,Zona superior del rostro entre cejas y cabello. Puede arrugarse al pensar o cubrirse de sudor.,Puede arrugarse al pensar o cubrirse de sudor.,Diccionario de la lengua española,https://dle.rae.es/frente
general-sostenible-frio,frío,,F,empieza,general,infantil|sostenible,1,Sensación que aparece cuando la temperatura es baja.,Condición térmica de baja temperatura.,Condición térmica de baja temperatura. Obliga a buscar abrigo y puede convertir agua en hielo.,Obliga a buscar abrigo y puede convertir agua en hielo.,Diccionario de la lengua española,https://dle.rae.es/fr%C3%ADo
general-sostenible-gorila,gorila,,G,empieza,general,infantil|sostenible,1,Mono africano enorme fuerte y de brazos largos.,Primate africano robusto y principalmente herbívoro.,Primate africano robusto y principalmente herbívoro. Pese a su enorme fuerza vive en grupos familiares.,Pese a su enorme fuerza vive en grupos familiares.,Diccionario de la lengua española,https://dle.rae.es/gorila
general-sostenible-gusano,gusano,,G,empieza,general,infantil|sostenible,1,Animal pequeño alargado y blando que se arrastra.,Invertebrado alargado sin patas visibles.,Invertebrado alargado sin patas visibles. Avanza contrayendo su cuerpo cerca o dentro del suelo.,Avanza contrayendo su cuerpo cerca o dentro del suelo.,Diccionario de la lengua española,https://dle.rae.es/gusano
general-sostenible-galleta,galleta,,G,empieza,general,infantil|sostenible,1,Alimento pequeño y crujiente hecho con harina.,Pieza horneada pequeña de masa dulce o salada.,Pieza horneada pequeña de masa dulce o salada. Cruje al morderla y acompaña meriendas o desayunos.,Cruje al morderla y acompaña meriendas o desayunos.,Diccionario de la lengua española,https://dle.rae.es/galleta
