id,clueInfantil
general-fabrica,"Lugar donde máquinas y personas elaboran muchos productos."
general-familia,"Grupo de personas unidas por parentesco y cariño."
general-fantasma,"Personaje imaginario que parece un espíritu y suele asustar."
general-farmacia,"Tienda donde compramos medicinas y productos para cuidarnos."
general-faro,"Torre con una luz que guía barcos de noche."
general-fosforo,"Palito que produce fuego cuando frotamos su cabeza."
general-frontera,"Línea que separa un país de otro."
general-galaxia,"Enorme conjunto de estrellas, como nuestra Vía Láctea."
general-galeria,"Pasillo largo que comunica distintas habitaciones o lugares."
general-gallina,"Ave de granja que pone huevos y cacarea."
general-garganta,"Parte del cuello por donde pasan comida y aire."
general-girasol,"Flor amarilla grande que parece mirar hacia el sol."
general-globo,"Objeto de goma que inflamos con aire y flota."
general-hamaca,"Asiento colgante que se mueve hacia adelante y atrás."
general-harina,"Polvo blanco usado para preparar pan, tortas y galletas."
general-helado,"Postre muy frío y dulce que viene en muchos sabores."
general-herramienta,"Objeto que usamos para construir, arreglar o fabricar algo."
general-hiedra,"Planta trepadora que cubre paredes con sus hojas verdes."
general-hilo,"Hebra larga y fina usada para coser telas."
general-hipopotamo,"Animal africano enorme que pasa mucho tiempo en el agua."
general-horizonte,"Línea lejana donde parecen juntarse el cielo y la tierra."
general-idioma,"Conjunto de palabras que usa una comunidad para comunicarse."
general-iglesia,"Edificio donde se reúnen personas de una religión cristiana."
general-iman,"Objeto que atrae el hierro sin necesidad de tocarlo."
general-incendio,"Fuego grande que se extiende y puede causar daños."
general-indice,"Lista que indica en qué página está cada tema."
general-insecto,"Animal pequeño con seis patas, como una hormiga."
general-invierno,"Estación más fría del año, después del otoño."
general-isla,"Porción de tierra rodeada de agua por todos lados."
general-jabon,"Producto que mezclamos con agua para limpiar y lavarnos."
general-jardin,"Terreno donde crecen flores, plantas y a veces árboles."
general-jaula,"Caja con barrotes donde puede estar encerrado un animal."
general-jirafa,"Animal africano muy alto, con cuello largo y manchas."
general-jornada,"Tiempo que dura un día de trabajo o actividad."
general-juguete,"Objeto creado para que los niños jueguen y se diviertan."
general-laberinto,"Lugar con caminos enredados donde cuesta encontrar la salida."
general-ladrillo,"Bloque duro usado para construir paredes y casas."
general-laguna,"Depósito natural de agua más pequeño que un lago."
general-lampara,"Objeto que da luz gracias a una bombilla."
general-lapiz,"Instrumento de madera y grafito usado para escribir o dibujar."
general-lechuza,"Ave nocturna de ojos grandes que vuela silenciosamente."
