id,clueInfantil
teocratico-sabado,"Día semanal que los israelitas reservaban para descansar."
teocratico-sacerdote,"Hombre que servía a Jehová en el tabernáculo o templo."
teocratico-sacrificio,"Ofrenda que una persona entregaba a Dios para adorarlo."
teocratico-salmo,"Canción sagrada de alabanza que aparece en la Biblia."
teocratico-santificar,"Separar algo para que sea limpio y dedicado a Dios."
teocratico-satanas,"Ángel rebelde que se convirtió en enemigo de Dios."
teocratico-tabernaculo,"Tienda especial donde los israelitas adoraban a Jehová."
teocratico-talento,"Gran cantidad de dinero mencionada en una historia de Jesús."
teocratico-templo,"Edificio de Jerusalén donde el pueblo adoraba a Jehová."
teocratico-ungir,"Poner aceite sobre alguien elegido para una tarea especial."
teocratico-resurreccion,"Milagro de devolverle la vida a una persona muerta."
teocratico-tumba,"Lugar donde colocaban el cuerpo de una persona fallecida."
teocratico-vidente,"Persona a quien Dios permitía conocer mensajes especiales."
teocratico-voto,"Promesa seria y voluntaria que alguien le hace a Dios."
teocratico-aventar,"Lanzar grano al aire para separarlo de la paja."
teocratico-levi,"Hijo de Jacob del que nació una tribu de Israel."
teocratico-exodo,"Salida de los israelitas de Egipto guiados por Moisés."
teocratico-expulsion,"Medida de apartar a quien practica algo malo sin arrepentirse."
teocratico-extorsion,"Quitarle algo a alguien mediante amenazas o abuso."
teocratico-extranjero,"Persona que vive en un país que no es el suyo."
teocratico-extrano,"Que es desconocido o no pertenece al grupo."
teocratico-yugo,"Pieza que une animales para que tiren juntos."
teocratico-ayuno,"Pasar un tiempo sin comer para concentrarse en asuntos espirituales."
teocratico-ley,"Conjunto de normas que Jehová dio a su pueblo."
teocratico-rey,"Gobernante que dirige un reino, como David o Salomón."
teocratico-alfa-y-omega,"Primera y última letras griegas usadas juntas como título."
teocratico-lazaro,"Amigo de Jesús que volvió a vivir después de morir."
