id,clueInfantil
general-madera,"Material de los árboles usado para fabricar muebles y juguetes."
general-maleta,"Caja con asa donde guardamos ropa para viajar."
general-manzana,"Fruta redonda que puede ser roja, verde o amarilla."
general-martillo,"Herramienta que usamos para clavar y sacar clavos."
general-mercado,"Lugar donde diferentes vendedores ofrecen alimentos y otros productos."
general-montana,"Elevación natural del terreno mucho más alta que una colina."
general-mina,"Lugar subterráneo donde se extraen minerales y otros materiales."
general-naranja,"Fruta redonda de color anaranjado que tiene mucho jugo."
general-nariz,"Parte de la cara que usamos para respirar y oler."
general-naufragio,"Accidente en el que un barco se hunde o destruye."
general-nevera,"Aparato que mantiene fríos los alimentos y las bebidas."
general-niebla,"Nube muy baja que dificulta ver lo que está lejos."
general-nido,"Lugar que construyen muchas aves para poner sus huevos."
general-nogal,"Árbol grande cuyo fruto es la nuez."
general-oasis,"Lugar con agua y plantas en medio del desierto."
general-oceano,"Enorme extensión de agua salada que separa continentes."
general-oficina,"Lugar con escritorios donde muchas personas realizan su trabajo."
general-olivo,"Árbol de hojas verdes cuyo fruto es la aceituna."
general-olla,"Recipiente redondo usado para cocinar alimentos en el fuego."
general-ombligo,"Pequeña marca que tenemos en el centro de la barriga."
general-orquesta,"Grupo de músicos que tocan juntos diferentes instrumentos."
general-palacio,"Casa enorme y elegante donde viven reyes o gobernantes."
general-paraguas,"Objeto que abrimos sobre la cabeza cuando llueve."
general-pared,"Superficie vertical que separa habitaciones y sostiene el techo."
general-pelota,"Objeto redondo que rebota y sirve para muchos juegos."
general-pincel,"Herramienta con pelos suaves que usamos para pintar."
general-puente,"Construcción que permite cruzar un río o una carretera."
general-quebrada,"Paso estrecho entre montañas por donde suele correr agua."
general-queja,"Palabras con las que contamos algo que nos molesta."
general-quemadura,"Herida producida por fuego, calor o algo muy caliente."
general-queroseno,"Líquido combustible usado en algunas lámparas, estufas y aviones."
general-queso,"Alimento hecho con leche que puede ser blando o duro."
general-quiosco,"Puesto pequeño donde se venden golosinas, revistas y bebidas."
general-quipu,"Cordones con nudos que los incas usaban para registrar información."
general-radar,"Aparato que usa ondas para localizar objetos lejanos."
general-raiz,"Parte de la planta que crece bajo la tierra."
general-relampago,"Luz brillante que aparece en el cielo durante una tormenta."
general-reloj,"Objeto que indica las horas y los minutos."
general-remedio,"Sustancia o tratamiento que ayuda a recuperar la salud."
general-rueda,"Objeto circular que gira y permite avanzar a los vehículos."
