id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-infantil-adan,Adán,,A,empieza,teocratico,relato-biblico-infantil,1,"Primer hombre que creó Jehová.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-crea-adan-eva/
teocratico-infantil-abel,Abel,,A,empieza,teocratico,relato-biblico-infantil,1,"Hijo de Adán y Eva cuya ofrenda agradó a Dios.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-abrahan,Abrahán,,A,empieza,teocratico,relato-biblico-infantil,1,"Hombre fiel que viajó con Sara a la tierra de Canaán.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/abrahan-sara/
teocratico-infantil-animales,animales,,A,empieza,teocratico,relato-biblico-infantil,1,"Seres vivos que Adán debía cuidar y nombrar.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-crea-adan-eva/
teocratico-infantil-babel,Babel,,B,empieza,teocratico,relato-biblico-infantil,1,"Lugar donde la gente construyó una torre muy alta.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/torre-babel/
teocratico-infantil-bebe,bebé,,B,empieza,teocratico,relato-biblico-infantil,1,"Niño muy pequeño, como Moisés cuando su madre lo escondió.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/moises/
teocratico-infantil-belen,Belén,,B,empieza,teocratico,relato-biblico-infantil,1,"Ciudad donde nació Jesús.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/11/anuncian-nacimiento-jesus/
teocratico-infantil-biblia,Biblia,,B,empieza,teocratico,relato-biblico-infantil,1,"Libro que contiene la Palabra de Dios.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-cain,Caín,,C,empieza,teocratico,relato-biblico-infantil,1,"Hijo de Adán que se enojó mucho con su hermano Abel.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-caleb,Caleb,,C,empieza,teocratico,relato-biblico-infantil,1,"Espía fiel que confió en que Jehová ayudaría a Israel.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-cielo,cielo,,C,empieza,teocratico,relato-biblico-infantil,1,"Lo que Jehová creó junto con la Tierra.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-hace-cielo-tierra/
teocratico-infantil-cornelio,Cornelio,,C,empieza,teocratico,relato-biblico-infantil,1,"Hombre que recibió la visita de Pedro y espíritu santo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/14/cornelio-recibe-espiritu-santo/
teocratico-infantil-daniel,Daniel,,D,empieza,teocratico,relato-biblico-infantil,1,"Siervo fiel de Dios que fue arrojado a un hoyo de leones.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-david,David,,D,empieza,teocratico,relato-biblico-infantil,1,"Joven que venció al gigante Goliat con una honda.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/7/david-goliat/
teocratico-infantil-debora,Débora,,D,empieza,teocratico,relato-biblico-infantil,1,"Profetisa valiente que ayudó al juez Barac.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-diluvio,Diluvio,,D,empieza,teocratico,relato-biblico-infantil,1,"Gran inundación de la que Noé y su familia se salvaron.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/2/arca-de-noe/
teocratico-infantil-eden,Edén,,E,empieza,teocratico,relato-biblico-infantil,1,"Jardín hermoso donde vivieron Adán y Eva.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-crea-adan-eva/
teocratico-infantil-egipto,Egipto,,E,empieza,teocratico,relato-biblico-infantil,1,"País donde los israelitas fueron esclavos.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/moises/
teocratico-infantil-ejercito,ejército,,E,empieza,teocratico,relato-biblico-infantil,1,"Grupo de soldados, como los que pelearon contra Israel.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/7/david-goliat/
teocratico-infantil-elias,Elías,,E,empieza,teocratico,relato-biblico-infantil,1,"Profeta que demostró en el monte Carmelo quién era el Dios verdadero.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-eliseo,Eliseo,,E,empieza,teocratico,relato-biblico-infantil,1,"Profeta que ayudó a una niña israelita y a Naamán.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-esau,Esaú,,E,empieza,teocratico,relato-biblico-infantil,1,"Hermano gemelo de Jacob que cambió su herencia por comida.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-esdras,Esdras,,E,empieza,teocratico,relato-biblico-infantil,1,"Hombre que enseñó la Ley de Dios al pueblo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/
teocratico-infantil-ester,Ester,,E,empieza,teocratico,relato-biblico-infantil,1,"Reina valiente que ayudó a salvar a su pueblo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/reina-ester-salva-pueblo/
